,,,,,
,,,MASTER DATA COMPONENT,,
,,,,,
,,,,,
,No,Code,Name,Type,Notes
,,,,,
,,,,,
,1,AL_BASICSALARY,Basic Salary Tambahan,Allowance,
,2,AL_ADDSAL,Additional Salary,Allowance,
,3,AL_ADDSAL_GROSS,Additional Salary Gross,Allowance,
,4,AL_RAPEL_SALARY,Rapel Salary,Allowance,
,5,AL_RAPEL_SALARY_GROSS,Rapel Salary Gross,Allowance,
,6,AL_MAKAN,Uang Makan,Allowance,
,7,AL_ADDMAKAN,Additional Uang Makan,Allowance,
,8,AL_MAKANTRANS,Uang Makan & Transport,Allowance,Inactive
,9,AL_MAKANBULANAN,Uang Makan Bulanan,Allowance,Inactive
,10,AL_TRANS,Uang Transport,Allowance,Inactive
,11,AL_ADDTRANS,Additional Uang Transport,Allowance,Inactive
,12,AL_RAPEL_TRANS,Rapel Uang Transport,Allowance,Inactive
,13,AL_JABATAN,Tunjangan Jabatan,Allowance,
,14,AL_ADDTUNJJAB,Additional Tunjangan Jabatan,Allowance,
,15,AL_RAPEL_JABATAN,Rapel Tunjangan Jabatan,Allowance,
,16,AL_JABATAN_GROSS,Tunjangan Jabatan Gross,Allowance,
,17,AL_ADDTUNJAB_GROSS,Additional Tunjangan Jabatan Gross,Allowance,
,18,AL_RAPEL_JABATAN_GROSS,Rapel Tunjangan Jabatan Gross,Allowance,
,19,AL_JABATANPJS,Tunjangan Jabatan PJS,Allowance,
,20,AL_ADDTUNJANGANTEMPATTINGGAL,Additional Tunjangan Relokasi,Allowance,
,21,AL_ADDREFUNDLOAN,Additional Refund Loan,Allowance,
,22,AL_TUNJANGANTEMPATTINGGAL,Tunjangan Tempat Tinggal,Allowance,Inactive
,23,AL_REWARD,Reward,Allowance,
,24,Al_ADDREWARD,Additional Reward,Allowance,
,25,AL_SISACUTI,Sisa Cuti Dibayarkan,Allowance,
,26,AL_ADDSISACUTI,Additional Sisa Cuti Dibayarkan,Allowance,
,27,AL_SISACUTI_GROSS,Sisa Cuti Dibayarkan Gross,Allowance,
,28,AL_ADDSISACUTI_GROSS,Additional Sisa Cuti Dibayarkan Gross,Allowance,
,29,AL_UANGPISAH,Tunjangan Uang Pisah,Allowance,Inactive
,30,AL_UANGPISAH_GROSS,Uang Pisah Gross,Allowance,
,31,AL_ADDUANGPISAH,Additional Uang Pisah,Allowance,
,32,AL_BENSINHARIAN,Tunjangan Bensin Harian,Allowance,Inactive
,33,AL_MAKANHARIAN,Tunjangan Makan Harian,Allowance,Inactive
,34,NE_PYOPERATIONAL,Netral Operasional dibayar Payroll,Neutral,
,35,AL_OPERATIONAL,Tunjangan Operasional,Allowance,
,36,AL_ADDTUNJOPS,Additional Tunjangan Operational,Allowance,
,37,AL_RAPEL_PYOPERATIONAL,Rapel Tunjangan Operational,Allowance,
,38,AL_OPERASIONALHARIAN,Tunjangan Operasional Harian,Allowance,Inactive
,39,AL_PENDIDIKAN,Tunjangan Pendidikan,Allowance,
,40,AL_PULSAHARIAN,Tunjangan Pulsa Harian,Allowance,Inactive
,41,AL_TUNJTRANSPORTCOM,Tunjangan Transport Commercial,Allowance,
,42,AL_ADDTUNJTRANSPORTCOM,Additional Tunjangan Transport Commercial,Allowance,
,43,AL_TUNVOLTA,Tunjangan Volta,Allowance,Inactive
,44,AL_UJALANLINEHAUL,Uang Jalan - Line Haul,Allowance,Inactive
,45,AL_KERAJINAN,Uang Kerajinan,Allowance,Inactive
